#,alzheimer,app,apoe,psen1,sorl1,psen2,ace,clu,bndf,mapt,il1b
1,1,1,0,0,0,0,0,0,0,0,0
2,5,4,0,0,0,0,0,0,0,0,0
3,14,59,4,0,0,0,24,0,0,0,0
4,49,123,67,0,0,0,130,0,0,0,0
5,53,134,132,0,0,0,155,0,0,0,8
6,123,153,201,0,0,0,234,0,0,0,2
7,84,110,267,10,0,1,193,0,0,0,0
8,174,124,433,1,0,2,196,0,0,0,4
9,98,100,435,5,0,2,210,0,0,3,4
10,90,136,385,10,0,2,321,0,0,0,5
11,109,162,523,25,0,7,202,0,0,0,5
12,113,231,396,9,0,12,204,0,0,0,20
13,88,126,263,32,0,25,177,0,0,9,0
